479.0,470.0,502.0,500.0,480.0,510.0,512.0,478.0,533.0,492.0,499.0,521.0,524.0
489.0,462.0,494.0,477.0,530.0,489.0,517.0,511.0,513.0,535.0,508.0,517.0,458.0
492.0,516.0,503.0,445.0,548.0,494.0,452.0,479.0,518.0,587.0,500.0,482.0,484.0
519.0,470.0,504.0,550.0,504.0,472.0,530.0,483.0,503.0,477.0,487.0,495.0,506.0
474.0,535.0,510.0,474.0,490.0,513.0,479.0,481.0,500.0,503.0,506.0,512.0,523.0
531.0,480.0,491.0,510.0,517.0,508.0,476.0,485.0,529.0,506.0,508.0,502.0,457.0
513.0,457.0,511.0,483.0,520.0,508.0,459.0,504.0,498.0,514.0,530.0,509.0,494.0
494.0,551.0,530.0,490.0,512.0,474.0,470.0,480.0,481.0,536.0,490.0,489.0,503.0
511.0,515.0,499.0,503.0,509.0,470.0,479.0,509.0,500.0,505.0,533.0,476.0,491.0
480.0,494.0,460.0,522.0,518.0,464.0,472.0,503.0,526.0,500.0,541.0,517.0,503.0
540.0,519.0,525.0,510.0,499.0,516.0,487.0,487.0,477.0,508.0,490.0,497.0,445.0
490.0,521.0,542.0,494.0,523.0,476.0,476.0,505.0,497.0,485.0,497.0,504.0,490.0
530.0,486.0,472.0,481.0,523.0,523.0,503.0,493.0,502.0,527.0,523.0,477.0,460.0
486.0,500.0,521.0,494.0,511.0,477.0,478.0,534.0,493.0,479.0,485.0,545.0,497.0
458.0,536.0,511.0,506.0,511.0,499.0,501.0,470.0,507.0,494.0,474.0,512.0,521.0
517.0,527.0,502.0,506.0,522.0,484.0,453.0,496.0,502.0,511.0,495.0,482.0,503.0
510.0,512.0,517.0,531.0,466.0,502.0,479.0,479.0,499.0,530.0,508.0,516.0,451.0
525.0,510.0,473.0,489.0,527.0,543.0,506.0,445.0,482.0,475.0,517.0,477.0,531.0
513.0,515.0,488.0,498.0,511.0,477.0,496.0,522.0,490.0,505.0,511.0,477.0,497.0
486.0,502.0,528.0,458.0,509.0,545.0,472.0,511.0,496.0,500.0,459.0,501.0,533.0
